smiles,name,inchikey,standard_deviation_of_teac_molte/mol,homo,lumo,molecular_weight,bde,ip,pde,pa,ete,teac_molte_mol_limpio
C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)O,"4,4',4''-Trihydroxytriphenylmethane",WFCQTAXSWSWIHS-UHFFFAOYSA-N,,-8.931,-0.018,292.3336,66.85058,190.2759,132.611,273.139,49.74786,0.096
CC(=O)CC1=CC=C(C=C1)O,4-hydroxyphenylacetone,VWMVAQHMFFZQGD-UHFFFAOYSA-N,,-9.192,-0.17,150.1768,77.5046299999999,193.0817,140.459279999999,271.60729,61.93365,0.049
C1=CC(=CC=C1O)F,4-fluorophenol,RHMPLDJJXGPMEX-UHFFFAOYSA-N,,-9.357,-0.389,112.1033,81.27417,202.8934,134.417119999999,273.2921,64.0183430399999,0.037
C1CCC(CC1)C2=CC=C(C=C2)O,4-cyclohexylphenol,OAHMVZYHIJQTQC-UHFFFAOYSA-N,,-8.91,0.143,176.2578,70.22568,190.136,136.126,278.9041,47.35788,0.058
C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)O,4-(1-adamantyl)phenol,KZMYFIUFUAOZHP-UHFFFAOYSA-N,,-8.88,0.168,228.3334,80.53387,188.5448,148.0254,278.3724,58.19779304,0.075
CC1=CC(=C(C=C1)C(=O)C)O,2'-hydroxy-4'-methylacetophenone,LYKDOWJROLHYOT-UHFFFAOYSA-N,,-9.472,-0.447,150.1768,82.5521,200.4425,138.1459,265.2775,73.31088,0.049
CC1=C(C=C(C=C1)C(C)C)O,carvacrol,RECUKUPTGUEGMW-UHFFFAOYSA-N,,-8.83,0.281,150.22,74.70436,187.7691,142.9716,280.6789,50.06175,0.049
CCCCC1=CC=C(C=C1)O,4-Butylphenol,CYYZDBDROVLTJU-UHFFFAOYSA-N,,-8.915,0.123,150.22,75.32926,190.8895,140.4761,279.5139,51.8517130399999,0.049
C=CCC1=CC=CC=C1O,2-allylphenol,QIRNGVVZBINFMX-UHFFFAOYSA-N,,-9.064,0.081,134.1774,72.59338,193.2383,135.391419999999,277.5002,51.12947,0.044
CC1=CC(=C(C=C1)C)O,"2,5-dimethylphenol",NKTOLZVEWDHZMU-UHFFFAOYSA-N,,-8.833,0.257,122.1664,79.77478,188.48919304,147.321899999999,280.5403,55.2708130399999,0.04
CC1=CC=CC=C1O,o-cresol,QWVGKYWNOKOFNN-UHFFFAOYSA-N,,-9.004,0.155,108.1396,80.00516,193.7464,142.2951,280.0104,56.03111,0.036
CC(C)(C)C1=CC=C(C=C1)O,4-tert-butylphenol,QHPQWRBYOIRBIT-UHFFFAOYSA-N,,-8.907,0.167,150.22,80.60197,190.3239,146.314379999999,279.4982,57.14007,0.049
C1=CC=C(C(=C1)CO)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,Phenolphthalol,CREICILGVGNQBH-UHFFFAOYSA-N,,-8.966,-0.044,306.3604,67.40385,187.8475,135.592689999999,271.1405,52.29963,0.101
CCCCCC1=CC=C(C=C1)O,4-amylphenol,ZNPSUQQXTRRSBM-UHFFFAOYSA-N,,-8.942,0.106,164.2468,75.2170199999999,191.4798,139.7735,279.01093,52.2424030399999,0.054
C1=CC(=CC=C1O)Cl,p-Chlorophenol,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,,-9.336,-0.41,128.5579,82.37599,201.5782,136.8341,269.4775,68.93483,0.042
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O,"3,5-di-tert-butyl-4-hydroxybenzaldehyde",DOZRDZLFLOODMB-UHFFFAOYSA-N,,-9.103,-0.357,234.3376,74.9165899999999,203.6929,127.259959999999,264.5308,66.4221130399999,0.077
C1=CC(=CC=C1O)I,p-iodophenol,VSMDINRNYYEDRN-UHFFFAOYSA-N,,-8.737,-0.383,220.0094,83.09327,193.4927,145.6369,267.8204,71.30919,0.072
CC(=O)C1=CC=CC=C1O,o-hydroxyacetophenone,JECYUBVRTQDVAT-UHFFFAOYSA-N,,-9.592,-0.575,136.15,82.8941899999999,204.5256,134.404909999999,264.23274,74.6977630399999,0.045
CCCC(=O)C1=CC=C(C=C1)O,p-hydroxybutyrophenone,GFBLPULLSAPXDC-UHFFFAOYSA-N,,-9.551,-0.505,164.2036,80.69324,204.068683,132.66087,264.69368,72.03587304,0.054
C1=CC=C(C=C1)O,phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,,-9.235,0.036,94.1128,82.34949,200.1709,138.214919999999,278.6785,59.70735,0.031
CC(C)(C)C1=CC=CC=C1O,2-tert-butylphenol,WJQOZHYUIDYNHM-UHFFFAOYSA-N,,-8.977,0.197,150.22,79.93185,191.34647304,144.621689999999,278.6592,57.30898,0.049
C1=CC(=CC(=C1)O)C#N,3-cyanophenol,SGHBRHKBCLLVCI-UHFFFAOYSA-N,,-9.773,-0.974,119.1226,83.80477,210.46278304,129.378299999999,266.0379,73.80314304,0.039
CC1=C(C=CC(=C1)O)C(C)C,4-isopropyl-3-methylphenol,IJALWSVNUBBQRA-UHFFFAOYSA-N,,-8.837,0.257,150.22,73.5535099999999,188.2371,141.3528,280.2088,49.3809830399999,0.049
